# British to US spellings from the English Speller Database: en-wl/wordlist data/scowl-pre.txt at 1e5b7d3.
#
# Copyright 2000-2026 by Kevin Atkinson
#
# Permission to use, copy, modify, distribute, and sell any part of the English
# Speller Database (ESDB, previously known as SCOWLv2), or word lists
# created from it, is hereby granted without fee, provided that the above
# copyright notice appears in all copies and that both the above copyright
# notice and this notice appear in supporting documentation.  Kevin Atkinson
# makes no representations about the suitability of this database for any
# purpose.  It is provided "as is" without express or implied warranty.
-bicolour	-bicolor
maderised	maderized
maderises	maderizes
maderising	maderizing
madoera	madera
magnetisable	magnetizable
magnetisation	magnetization
magnetisations	magnetizations
magnetise	magnetize
magnetised	magnetized
magnetiser	magnetizer
magnetisers	magnetizers
magnetises	magnetizes
magnetising	magnetizing
maigre	maiger
mainour	mainor
mainours	mainors
mainprise	mainprize
majusculae	majuscule
malodour	malodor
malodourousness	malodorousness
malodours	malodors
mandaean	mandean
mandaeans	mandeans
manhattanise	manhattanize
manhattanises	manhattanizes
manichaeanism	manicheanism
manichaeanisms	manicheanisms
manichaeans	manicheans
manichaeism	manicheism
manichaeisms	manicheisms
manilla	manila
manillas	manilas
manoeuvrabilities	maneuverabilities
manoeuvrability	maneuverability
manoeuvrable	maneuverable
manoeuvre	maneuver
manoeuvred	maneuvered
manoeuvrer	maneuverer
manoeuvrers	maneuverers
manoeuvres	maneuvers
manoeuvring	maneuvering
manoeuvrings	maneuverings
marbleise	marbleize
marbleised	marbleized
marbleises	marbleizes
marbleising	marbleizing
margaritae	margarite
marginalisation	marginalization
marginalise	marginalize
marginalised	marginalized
marginalises	marginalizes
marginalising	marginalizing
marmarise	marmarize
marmarised	marmarized
marmarises	marmarizes
marmarising	marmarizing
marmelise	marmelize
marmelised	marmelized
marmelises	marmelizes
marmelising	marmelizing
marshalled	marshaled
marshalling	marshaling
martyrisation	martyrization
martyrisations	martyrizations
martyrise	martyrize
martyrised	martyrized
martyrises	martyrizes
martyrising	martyrizing
marvelled	marveled
marvelling	marveling
marvellous	marvelous
marvellously	marvelously
marvellousness	marvelousness
marvellousnesses	marvelousnesses
masculinisation	masculinization
masculinisations	masculinizations
masculinise	masculinize
masculinised	masculinized
masculinises	masculinizes
masculinising	masculinizing
materialisation	materialization
materialisations	materializations
materialise	materialize
materialised	materialized
materialiser	materializer
materialisers	materializers
materialises	materializes
materialising	materializing
mathematicise	mathematicize
mathematicised	mathematicized
mathematicises	mathematicizes
mathematicising	mathematicizing
mathematisation	mathematization
mathematisations	mathematizations
mathematise	mathematize
mathematised	mathematized
mathematises	mathematizes
mathematising	mathematizing
maths	math
matres	maters
matronise	matronize
matronised	matronized
matronises	matronizes
matronising	matronizing
matthaean	matthean
matts	mats
maugre	mauger
maximisation	maximization
maximisations	maximizations
maximise	maximize
maximised	maximized
maximiser	maximizer
maximisers	maximizers
maximises	maximizes
maximising	maximizing
meagre	meager
meagrely	meagerly
meagreness	meagerness
meagrenesses	meagernesses
meagrer	meagerrer
meagrest	meagerrest
mechanisable	mechanizable
mechanisation	mechanization
mechanisations	mechanizations
mechanise	mechanize
mechanised	mechanized
mechaniser	mechanizer
mechanisers	mechanizers
mechanises	mechanizes
mechanising	mechanizing
medalled	medaled
medalling	medaling
medallist	medalist
medallists	medalists
mediaevalism	medievalism
mediaevalisms	medievalisms
mediaevally	medievally
mediatisation	mediatization
mediatisations	mediatizations
mediatise	mediatize
mediatised	mediatized
mediatises	mediatizes
mediatising	mediatizing
medicalisation	medicalization
medicalisations	medicalizations
medicalise	medicalize
medicalised	medicalized
medicalises	medicalizes
medicalising	medicalizing
megametre	megameter
megametres	megameters
melaena	melena
melanaemia	melanemia
melanisation	melanization
melanise	melanize
melanised	melanized
melanises	melanizes
melanising	melanizing
melodise	melodize
melodised	melodized
melodiser	melodizer
melodises	melodizes
melodising	melodizing
melodramatisation	melodramatization
melodramatise	melodramatize
melodramatised	melodramatized
melodramatises	melodramatizes
melodramatising	melodramatizing
memorialisation	memorialization
memorialisations	memorializations
memorialise	memorialize
memorialised	memorialized
memorialiser	memorializer
memorialisers	memorializers
memorialises	memorializes
memorialising	memorializing
memorisable	memorizable
memorisation	memorization
memorisations	memorizations
memorise	memorize
memorised	memorized
memoriser	memorizer
memorisers	memorizers
memorises	memorizes
memorising	memorizing
menorrhoea	menorrhea
menorrhoeas	menorrheas
mensae	mense
mercerisation	mercerization
mercerisations	mercerizations
mercerise	mercerize
mercerised	mercerized
merceriser	mercerizer
mercerisers	mercerizers
mercerises	mercerizes
mercerising	mercerizing
mercurialisation	mercurialization
mercurialisations	mercurializations
mercurialise	mercurialize
mercurialised	mercurialized
mercurialises	mercurializes
mercurialising	mercurializing
mercurise	mercurize
mercurised	mercurized
mercurises	mercurizes
mercurising	mercurizing
mesmerisation	mesmerization
mesmerisations	mesmerizations
mesmerise	mesmerize
mesmerised	mesmerized
mesmeriser	mesmerizer
mesmerisers	mesmerizers
mesmerises	mesmerizes
mesmerising	mesmerizing
mesogloea	mesoglea
mesogloeal	mesogleal
mesogloeas	mesogleas
mesprise	mesprize
metabolisable	metabolizable
metabolise	metabolize
metabolised	metabolized
metabolises	metabolizes
metabolising	metabolizing
metacentre	metacenter
metacentres	metacenters
metagrabolise	metagrabolize
metagrabolised	metagrabolized
metagrabolises	metagrabolizes
metagrabolising	metagrabolizing
metagrobolise	metagrobolize
metagrobolised	metagrobolized
metagrobolises	metagrobolizes
metagrobolising	metagrobolizing
metalled	metaled
metalling	metaling
metallisation	metalization
metallisations	metalizations
metallise	metalize
metallised	metalized
metallises	metalizes
metallising	metalizing
metastasise	metastasize
metastasised	metastasized
metastasises	metastasizes
metastasising	metastasizing
metathesise	metathesize
metathesised	metathesized
metathesises	metathesizes
metathesising	metathesizing
methaemoglobin	methemoglobin
methodisation	methodization
methodisations	methodizations
methodise	methodize
methodised	methodized
methodiser	methodizer
methodisers	methodizers
methodises	methodizes
methodising	methodizing
metoestrus	metestrus
metopae	metope
metre	meter
metricise	metricize
metricised	metricized
metricises	metricizes
metricising	metricizing
metropolitanisation	metropolitanization
metropolitanise	metropolitanize
metropolitanised	metropolitanized
metropolitanises	metropolitanizes
metropolitanising	metropolitanizing
miaow	meow
miaowed	meowed
miaowing	meowing
miaows	meows
micellae	micelle
microlitre	microliter
microlitres	microliters
micrometre	micrometer
micrometres	micrometers
micromillimetre	micromillimeter
micromillimetres	micromillimeters
microminiaturisation	microminiaturization
microminiaturisations	microminiaturizations
microminiaturise	microminiaturize
microminiaturised	microminiaturized
microminiaturises	microminiaturizes
microminiaturising	microminiaturizing
micronise	micronize
micronises	micronizes
micropalaeontologies	micropaleontologies
micropalaeontologist	micropaleontologist
micropalaeontologists	micropaleontologists
micropalaeontology	micropaleontology
militarisation	militarization
militarisations	militarizations
militarise	militarize
militarised	militarized
militarises	militarizes
militarising	militarizing
millilitre	milliliter
millilitres	milliliters
millimetre	millimeter
millimetres	millimeters
mineralisable	mineralizable
mineralisation	mineralization
mineralisations	mineralizations
mineralise	mineralize
mineralised	mineralized
mineraliser	mineralizer
mineralisers	mineralizers
mineralises	mineralizes
mineralising	mineralizing
mineralogise	mineralogize
mineralogised	mineralogized
mineralogises	mineralogizes
mineralogising	mineralogizing
miniaturisation	miniaturization
miniaturisations	miniaturizations
miniaturise	miniaturize
miniaturised	miniaturized
miniaturises	miniaturizes
miniaturising	miniaturizing
minimisation	minimization
minimisations	minimizations
minimise	minimize
minimised	minimized
minimiser	minimizer
minimisers	minimizers
minimises	minimizes
minimising	minimizing
misadvise	misadvize
misalphabetise	misalphabetize
misbehaviour	misbehavior
misbehaviours	misbehaviors
mischaracterisation	mischaracterization
mischaracterisations	mischaracterizations
mischaracterise	mischaracterize
miscolour	miscolor
miscoloured	miscolored
miscolouring	miscoloring
miscolours	miscolors
misdemeanour	misdemeanor
misdemeanours	misdemeanors
mise	mize
misemphasise	misemphasize
misemphasises	misemphasizes
misjudgement	misjudgment
misjudgements	misjudgments
mislabelled	mislabeled
mislabelling	mislabeling
mislabour	mislabor
mislaboured	mislabored
mislabouring	mislaboring
mislabours	mislabors
mispriser	misprizer
missionarise	missionarize
missionarised	missionarized
missionarises	missionarizes
missionarising	missionarizing
missionisation	missionization
missionise	missionize
missionised	missionized
missioniser	missionizer
missionisers	missionizers
missionises	missionizes
missionising	missionizing
mithridatise	mithridatize
mithridatised	mithridatized
mithridatises	mithridatizes
mithridatising	mithridatizing
mitre	miter
mitred	mitered
mitrer	miterer
mitres	miters
mitrewort	miterwort
mitreworts	miterworts
mitring	mitering
mobilisable	mobilizable
mobilisation	mobilization
mobilisations	mobilizations
mobilise	mobilize
mobilised	mobilized
mobiliser	mobilizer
mobilisers	mobilizers
mobilises	mobilizes
mobilising	mobilizing
modelled	modeled
modeller	modeler
modellers	modelers
modelling	modeling
modellings	modelings
modernisation	modernization
modernisations	modernizations
modernise	modernize
modernised	modernized
moderniser	modernizer
modernisers	modernizers
modernises	modernizes
modernising	modernizing
modularisation	modularization
modularise	modularize
modularised	modularized
modularises	modularizes
modularising	modularizing
moellon	mellon
moggie	moggy
mohammedanise	mohammedanize
mohammedanised	mohammedanized
mohammedanises	mohammedanizes
mohammedanising	mohammedanizing
moisturise	moisturize
moisturised	moisturized
moisturiser	moisturizer
moisturisers	moisturizers
moisturises	moisturizes
moisturising	moisturizing
mollusc	mollusk
molluscs	mollusks
molochise	molochize
molochised	molochized
molochises	molochizes
molochising	molochizing
monarchise	monarchize
monarchised	monarchized
monarchises	monarchizes
monarchising	monarchizing
monetisation	monetization
monetisations	monetizations
monetise	monetize
monetised	monetized
monetises	monetizes
monetising	monetizing
mongolise	mongolize
mongolised	mongolized
mongolises	mongolizes
mongolising	mongolizing
mongrelisation	mongrelization
mongrelisations	mongrelizations
mongrelise	mongrelize
mongrelised	mongrelized
mongrelises	mongrelizes
mongrelising	mongrelizing
monoecian	monecian
monoestrous	monestrous
monologise	monologize
monologised	monologized
monologises	monologizes
monologising	monologizing
monologuise	monologuize
monologuised	monologuized
monologuises	monologuizes
monologuising	monologuizing
monometallism	monometalism
monometallist	monometalist
monophthongise	monophthongize
monophthongised	monophthongized
monophthongises	monophthongizes
monophthongising	monophthongizing
monopolisation	monopolization
monopolisations	monopolizations
monopolise	monopolize
monopolised	monopolized
monopoliser	monopolizer
monopolisers	monopolizers
monopolises	monopolizes
monopolising	monopolizing
monumentalise	monumentalize
monumentalised	monumentalized
monumentalises	monumentalizes
monumentalising	monumentalizing
moraea	morea
moralisation	moralization
moralisations	moralizations
moralise	moralize
moralised	moralized
moraliser	moralizer
moralisers	moralizers
moralises	moralizes
moralising	moralizing
moralisingly	moralizingly
morselled	morseled
morselling	morseling
mortalise	mortalize
mortalised	mortalized
mortalises	mortalizes
mortalising	mortalizing
morulae	morule
motorisation	motorization
motorisations	motorizations
motorise	motorize
motorised	motorized
motorises	motorizes
motorising	motorizing
mould	mold
moulded	molded
moulder	molder
mouldered	moldered
mouldering	moldering
moulders	molders
mouldier	moldier
mouldiest	moldiest
moulding	molding
mouldings	moldings
moulds	molds
mouldy	moldy
moult	molt
moulted	molted
moulting	molting
moults	molts
mourne	morne
mourningly	morningly
moustache	mustache
moustached	mustached
moustaches	mustaches
mucosae	mucose
multicolour	multicolor
multicoloured	multicolored
multicolours	multicolors
multilevelled	multileveled
mums	moms
municipalisation	municipalization
municipalisations	municipalizations
municipalise	municipalize
municipalised	municipalized
municipalises	municipalizes
municipalising	municipalizing
muraena	murena
muraenas	murenas
musicalisation	musicalization
musicalisations	musicalizations
musicalise	musicalize
musicalised	musicalized
musicalises	musicalizes
musicalising	musicalizing
mutagenise	mutagenize
mutagenised	mutagenized
mutagenises	mutagenizes
mutagenising	mutagenizing
mutualisation	mutualization
mutualisations	mutualizations
mutualise	mutualize
mutualised	mutualized
mutualises	mutualizes
mutualising	mutualizing
myelinisation	myelinization
myelinisations	myelinizations
mylonitisation	mylonitization
mylonitise	mylonitize
mylonitised	mylonitized
mylonitises	mylonitizes
mylonitising	mylonitizing
mynah	myna
myriametre	myriameter
mythicisation	mythicization
mythicise	mythicize
mythicised	mythicized
mythiciser	mythicizer
mythicisers	mythicizers
mythicises	mythicizes
mythicising	mythicizing
mythise	mythize
mythised	mythized
mythises	mythizes
mythising	mythizing
mythologisation	mythologization
mythologise	mythologize
mythologised	mythologized
mythologiser	mythologizer
mythologisers	mythologizers
mythologises	mythologizes
mythologising	mythologizing
mythopoeic	mythopeic
mythopoeist	mythopeist
myxamoeba	myxameba
myxoedema	myxedema
myxoedemas	myxedemas
myxoedematous	myxedematous
myxoedemic	myxedemic
nabataeans	nabateans
nabathaean	nabathean
naevoid	nevoid
nanisation	nanization
nanometre	nanometer
nanometres	nanometers
naphthalise	naphthalize
naphthalised	naphthalized
naphthalises	naphthalizes
naphthalising	naphthalizing
narcotisation	narcotization
narcotisations	narcotizations
narcotise	narcotize
narcotised	narcotized
narcotises	narcotizes
narcotising	narcotizing
nasalisation	nasalization
nasalisations	nasalizations
nasalise	nasalize
nasalised	nasalized
nasalises	nasalizes
nasalising	nasalizing
nationalisation	nationalization
nationalisations	nationalizations
nationalise	nationalize
nationalised	nationalized
nationaliser	nationalizer
nationalisers	nationalizers
nationalises	nationalizes
nationalising	nationalizing
naturalisation	naturalization
naturalisations	naturalizations
naturalise	naturalize
naturalised	naturalized
naturaliser	naturalizer
naturalisers	naturalizers
naturalises	naturalizes
naturalising	naturalizing
nebulisation	nebulization
nebulisations	nebulizations
nebulise	nebulize
nebulised	nebulized
nebuliser	nebulizer
nebulisers	nebulizers
nebulises	nebulizes
nebulising	nebulizing
necrotise	necrotize
necrotised	necrotized
necrotises	necrotizes
necrotising	necrotizing
neighbour	neighbor
neighboured	neighbored
neighbourhood	neighborhood
neighbourhoods	neighborhoods
neighbouring	neighboring
neighbourings	neighborings
neighbourless	neighborless
neighbourliness	neighborliness
neighbourlinesses	neighborlinesses
neighbourly	neighborly
neighbours	neighbors
neogaea	neogea
neogaean	neogean
neologise	neologize
neologised	neologized
neologises	neologizes
neologising	neologizing
neopaganise	neopaganize
neopaganised	neopaganized
neopaganises	neopaganizes
neopaganising	neopaganizing
neoterise	neoterize
neoterised	neoterized
neoterises	neoterizes
neoterising	neoterizing
nephrectomise	nephrectomize
neurocoele	neurocele
neutralisation	neutralization
neutralisations	neutralizations
neutralise	neutralize
neutralised	neutralized
neutraliser	neutralizer
neutralisers	neutralizers
neutralises	neutralizes
neutralising	neutralizing
nickelise	nickelize
nickelised	nickelized
nickelises	nickelizes
nickelising	nickelizing
nickelled	nickeled
nickelling	nickeling
niggardise	niggardize
niggardised	niggardized
niggardises	niggardizes
niggardising	niggardizing
nitre	niter
nitres	niters
nitrogenisation	nitrogenization
nitrogenise	nitrogenize
nitrogenised	nitrogenized
nitrogenises	nitrogenizes
nitrogenising	nitrogenizing
nitroglycerine	nitroglycerin
nitroglycerines	nitroglycerins
nodalise	nodalize
nodalised	nodalized
nodalises	nodalizes
nodalising	nodalizing
nomadisation	nomadization
nomadise	nomadize
nomadised	nomadized
nomadises	nomadizes
nomadising	nomadizing
nominalisation	nominalization
nominalisations	nominalizations
nominalise	nominalize
nominalised	nominalized
nominalises	nominalizes
nominalising	nominalizing
nonaesthetic	nonesthetic
noncivilised	noncivilized
noncolour	noncolor
noncoloured	noncolored
noncolourfast	noncolorfast
noncolours	noncolors
nonfulfilment	nonfulfillment
nonfulfilments	nonfulfillments
nonimmunised	nonimmunized
nonionised	nonionized
nonionising	nonionizing
nonoxidising	nonoxidizing
nonpolarisable	nonpolarizable
nonspecialised	nonspecialized
nonstandardised	nonstandardized
nonsympathiser	nonsympathizer
nonsympathisers	nonsympathizers
nonsynthesised	nonsynthesized
normalisable	normalizable
normalisation	normalization
normalisations	normalizations
normalise	normalize
normalised	normalized
normaliser	normalizer
normalisers	normalizers
normalises	normalizes
normalising	normalizing
normanisation	normanization
normanisations	normanizations
normanise	normanize
normanised	normanized
normanises	normanizes
normanising	normanizing
northernise	northernize
northernised	northernized
northernises	northernizes
northernising	northernizing
notarisation	notarization
notarisations	notarizations
notarise	notarize
notarised	notarized
notarises	notarizes
notarising	notarizing
notogaea	notogea
notre	noter
nought	naught
noughts	naughts
nourice	norice
novelisation	novelization
novelisations	novelizations
novelise	novelize
novelised	novelized
noveliser	novelizer
novelisers	novelizers
novelises	novelizes
novelising	novelizing
novenae	novene
nuclearisation	nuclearization
nuclearisations	nuclearizations
nuclearise	nuclearize
nuclearised	nuclearized
nuclearises	nuclearizes
nuclearising	nuclearizing
numbskull	numskull
numbskulls	numskulls
nymphaeum	nympheum
obelise	obelize
obelised	obelized
obelises	obelizes
obelising	obelizing
objectivise	objectivize
objectivised	objectivized
objectivises	objectivizes
objectivising	objectivizing
occidentalisation	occidentalization
occidentalisations	occidentalizations
occidentalise	occidentalize
occidentalised	occidentalized
occidentalises	occidentalizes
occidentalising	occidentalizing
ochre	ocher
ochred	ochered
ochreous	ocherous
ochres	ochers
ochrey	ochery
ochring	ochering
odorise	odorize
odorised	odorized
odoriser	odorizer
odorises	odorizes
odorising	odorizing
odour	odor
odoured	odored
odourful	odorful
odourless	odorless
odours	odors
oecophobia	ecophobia
oecus	ecus
oedema	edema
oedematose	edematose
oedematous	edematous
oenolic	enolic
oenological	enological
oenologist	enologist
oenologists	enologists
oenomania	enomania
oesophagitis	esophagitis
oesophagus	esophagus
oestradiol	estradiol
oestradiols	estradiols
oestral	estral
oestrin	estrin
oestrins	estrins
oestriol	estriol
oestriols	estriols
oestrogen	estrogen
oestrogenic	estrogenic
oestrogens	estrogens
oestrone	estrone
oestrones	estrones
oestrous	estrous
oestrual	estrual
oestrum	estrum
oestrums	estrums
oestrus	estrus
oestruses	estruses
offence	offense
offenceless	offenseless
offences	offenses
oligaemia	oligemia
olpae	olpe
ombre	omber
ombres	ombers
omelette	omelet
omelettes	omelets
oneyre	oneyer
oneyres	oneyers
opalised	opalized
opalled	opaled
operatise	operatize
operatised	operatized
operatises	operatizes
operatising	operatizing
optimalisation	optimalization
optimalisations	optimalizations
optimalise	optimalize
optimalised	optimalized
optimalises	optimalizes
optimalising	optimalizing
optimisation	optimization
optimisations	optimizations
optimise	optimize
optimised	optimized
optimiser	optimizer
optimisers	optimizers
optimises	optimizes
optimising	optimizing
organdie	organdy
organisability	organizability
organisable	organizable
organisation	organization
organisational	organizational
organisationally	organizationally
organisations	organizations
organise	organize
organised	organized
organiser	organizer
organisers	organizers
organises	organizes
organising	organizing
orientalise	orientalize
orientalised	orientalized
orientalises	orientalizes
orientalising	orientalizing
orthocentre	orthocenter
orthocentres	orthocenters
orthogonalisation	orthogonalization
orthogonalise	orthogonalize
orthogonalised	orthogonalized
orthogonalises	orthogonalizes
orthogonalising	orthogonalizing
orthographise	orthographize
orthopaedia	orthopedia
orthopaedic	orthopedic
orthopaedical	orthopedical
orthopaedically	orthopedically
orthopaedics	orthopedics
orthopaedist	orthopedist
orthopaedists	orthopedists
orthopaedy	orthopedy
orthopnoea	orthopnea
ostracise	ostracize
ostracised	ostracized
ostracises	ostracizes
ostracising	ostracizing
otorrhoea	otorrhea
ourologies	orologies
ourology	orology
outcavilled	outcaviled
outcavilling	outcaviling
outhumour	outhumor
outhumoured	outhumored
outhumouring	outhumoring
outhumours	outhumors
outmanoeuvre	outmaneuver
outmanoeuvred	outmaneuvered
outmanoeuvres	outmaneuvers
outmanoeuvring	outmaneuvering
outrivalled	outrivaled
outrivalling	outrivaling
outsavour	outsavor
outsavours	outsavors
ovariectomised	ovariectomized
overanalyse	overanalyze
overanalyses	overanalyzes
overcapitalisation	overcapitalization
overcapitalisations	overcapitalizations
overcapitalise	overcapitalize
overcapitalised	overcapitalized
overcapitalises	overcapitalizes
overcapitalising	overcapitalizing
overcentralisation	overcentralization
overcentralisations	overcentralizations
overcentralise	overcentralize
overcentralises	overcentralizes
overcolour	overcolor
overcolours	overcolors
overdramatise	overdramatize
overdramatised	overdramatized
overdramatises	overdramatizes
overdramatising	overdramatizing
overemphasise	overemphasize
overemphasised	overemphasized
overemphasises	overemphasizes
overemphasising	overemphasizing
overfavour	overfavor
overfavours	overfavors
overfertilisation	overfertilization
overgeneralise	overgeneralize
overgeneralised	overgeneralized
overgeneralises	overgeneralizes
overgeneralising	overgeneralizing
overindustrialise	overindustrialize
overlabour	overlabor
overlaboured	overlabored
overlabouring	overlaboring
overlabours	overlabors
oversized	oversize
overspecialisation	overspecialization
overspecialisations	overspecializations
overspecialise	overspecialize
overspecialised	overspecialized
overspecialises	overspecializes
overspecialising	overspecializing
overutilisation	overutilization
owre	ower
oxidisable	oxidizable
oxidisation	oxidization
oxidisations	oxidizations
oxidise	oxidize
oxidised	oxidized
oxidiser	oxidizer
oxidisers	oxidizers
oxidises	oxidizes
oxidising	oxidizing
oxygenise	oxygenize
oxygenised	oxygenized
oxygenises	oxygenizes
oxygenising	oxygenizing
oxyhaemoglobin	oxyhemoglobin
oxyhaemoglobins	oxyhemoglobins
ozaena	ozena
ozonisation	ozonization
ozonisations	ozonizations
ozonise	ozonize
ozonised	ozonized
ozoniser	ozonizer
ozonisers	ozonizers
ozonises	ozonizes
ozonising	ozonizing
paedagogism	pedagogism
paederastic	pederastic
paederastically	pederastically
paediatric	pediatric
paediatrician	pediatrician
paediatricians	pediatricians
paediatrics	pediatrics
paediatry	pediatry
paedobaptism	pedobaptism
paedobaptist	pedobaptist
paedodontic	pedodontic
paedodontics	pedodontics
paedogeneses	pedogeneses
paedogenesis	pedogenesis
paedogenetic	pedogenetic
paedogenic	pedogenic
paedological	pedological
paedologies	pedologies
paedologist	pedologist
paedologists	pedologists
paedology	pedology
paedomorphic	pedomorphic
paedomorphism	pedomorphism
paedomorphisms	pedomorphisms
paedomorphoses	pedomorphoses
paedomorphosis	pedomorphosis
paedophile	pedophile
paedophiles	pedophiles
paedophilia	pedophilia
paedophiliac	pedophiliac
paedophiliacs	pedophiliacs
paedophilias	pedophilias
paedophilic	pedophilic
paedotribe	pedotribe
paedotrophy	pedotrophy
paganisation	paganization
paganisations	paganizations
paganise	paganize
paganised	paganized
paganiser	paganizer
paganisers	paganizers
paganises	paganizes
paganising	paganizing
palaeanthropic	paleanthropic
palaearctic	palearctic
palaeethnological	paleethnological
palaeethnology	paleethnology
palaeoanthropic	paleoanthropic
palaeoanthropological	paleoanthropological
palaeoanthropologies	paleoanthropologies
palaeoanthropologist	paleoanthropologist
palaeoanthropologists	paleoanthropologists
palaeoanthropology	paleoanthropology
palaeoanthropus	paleoanthropus
palaeobiogeography	paleobiogeography
palaeobiologic	paleobiologic
palaeobiological	paleobiological
palaeobiologies	paleobiologies
palaeobiologist	paleobiologist
palaeobiologists	paleobiologists
palaeobiology	paleobiology
palaeobotanic	paleobotanic
palaeobotanical	paleobotanical
palaeobotanically	paleobotanically
palaeobotanies	paleobotanies
palaeobotanist	paleobotanist
palaeobotanists	paleobotanists
palaeobotany	paleobotany
palaeoclimatic	paleoclimatic
palaeoclimatologies	paleoclimatologies
palaeoclimatologist	paleoclimatologist
palaeoclimatologists	paleoclimatologists
palaeoclimatology	paleoclimatology
palaeocrystic	paleocrystic
palaeoecologic	paleoecologic
palaeoecological	paleoecological
palaeoecologies	paleoecologies
palaeoecologist	paleoecologist
palaeoecologists	paleoecologists
palaeoecology	paleoecology
palaeoethnologic	paleoethnologic
palaeoethnological	paleoethnological
palaeoethnologist	paleoethnologist
palaeoethnology	paleoethnology
palaeogeographer	paleogeographer
palaeogeographers	paleogeographers
palaeogeographic	paleogeographic
palaeogeographical	paleogeographical
palaeogeographically	paleogeographically
palaeogeographies	paleogeographies
palaeogeography	paleogeography
palaeographic	paleographic
palaeographical	paleographical
palaeographically	paleographically
palaeographist	paleographist
palaeolimnology	paleolimnology
palaeolith	paleolith
palaeolithic	paleolithic
palaeoliths	paleoliths
palaeomagnetism	paleomagnetism
palaeomagnetisms	paleomagnetisms
palaeontographic	paleontographic
palaeontographical	paleontographical
palaeontographies	paleontographies
palaeontography	paleontography
palaeontologic	paleontologic
palaeontological	paleontological
palaeontologist	paleontologist
palaeontologists	paleontologists
palaeontology	paleontology
palaeopathological	paleopathological
palaeopathologies	paleopathologies
palaeopathologist	paleopathologist
palaeopathologists	paleopathologists
palaeopathology	paleopathology
palaeopedology	paleopedology
palaeophytology	paleophytology
palaeopsychology	paleopsychology
palaeozoological	paleozoological
palaeozoologies	paleozoologies
palaeozoologist	paleozoologist
palaeozoologists	paleozoologists
palaeozoology	paleozoology
palaestra	palestra
palaestrae	palestrae
palaestral	palestral
palaestras	palestras
palaestric	palestric
palatalisation	palatalization
palatalisations	palatalizations
palatalise	palatalize
palatalised	palatalized
palatalises	palatalizes
palatalising	palatalizing
palletisation	palletization
palletisations	palletizations
palletise	palletize
palletised	palletized
palletiser	palletizer
palletisers	palletizers
palletises	palletizes
palletising	palletizing
panaesthesia	panesthesia
pandoura	pandora
panegyrise	panegyrize
panegyrised	panegyrized
panegyrises	panegyrizes
panegyrising	panegyrizing
panelled	paneled
panelling	paneling
panellings	panelings
panellist	panelist
panellists	panelists
panomphaean	panomphean
papalise	papalize
papalised	papalized
papalises	papalizes
papalising	papalizing
parabolise	parabolize
parabolised	parabolized
parabolises	parabolizes
parabolising	parabolizing
paraenesis	parenesis
paraenetic	parenetic
paraenetical	parenetical
paraesthesia	paresthesia
paraesthesias	paresthesias
paraesthetic	paresthetic
parallelisation	parallelization
parallelise	parallelize
parallelised	parallelized
parallelises	parallelizes
parallelising	parallelizing
paralogise	paralogize
paralogised	paralogized
paralogises	paralogizes
paralogising	paralogizing
paralysation	paralyzation
paralysations	paralyzations
paralyse	paralyze
paralysed	paralyzed
paralyser	paralyzer
paralysers	paralyzers
paralysing	paralyzing
paralysingly	paralyzingly
parameterisation	parameterization
parameterisations	parameterizations
parameterise	parameterize
parameterised	parameterized
parameterises	parameterizes
parameterising	parameterizing
parametrisation	parametrization
parametrisations	parametrizations
parametrise	parametrize
parametrised	parametrized
parametrises	parametrizes
parametrising	parametrizing
paraselenae	paraselene
parasitaemia	parasitemia
parasitisation	parasitization
parasitise	parasitize
parasitised	parasitized
parasitises	parasitizes
parasitising	parasitizing
parathyroidectomise	parathyroidectomize
parathyroidectomised	parathyroidectomized
parcelled	parceled
parcelling	parceling
parchmentise	parchmentize
parchmentised	parchmentized
parchmentises	parchmentizes
parchmentising	parchmentizing
parenthesise	parenthesize
parenthesised	parenthesized
parenthesises	parenthesizes
parenthesising	parenthesizing
parfocalise	parfocalize
parlour	parlor
parlourmaid	parlormaid
parlourmaids	parlormaids
parlours	parlors
parochialise	parochialize
parochialised	parochialized
parochialises	parochializes
parochialising	parochializing
paroecious	parecious
paroecism	parecism
partialise	partialize
partialised	partialized
partialises	partializes
partialising	partializing
particoloured	particolored
particularisation	particularization
particularisations	particularizations
particularise	particularize
particularised	particularized
particulariser	particularizer
particularises	particularizes
particularising	particularizing
passadoes	passades
passivisation	passivization
pasteurisation	pasteurization
pasteurisations	pasteurizations
pasteurise	pasteurize
pasteurised	pasteurized
pasteuriser	pasteurizer
pasteurisers	pasteurizers
pasteurises	pasteurizes
pasteurising	pasteurizing
pastoralise	pastoralize
pastoralises	pastoralizes
patinae	patine
patinaed	patined
patrialisation	patrialization
patrialise	patrialize
patrialised	patrialized
patrialises	patrializes
patrialising	patrializing
patronisation	patronization
patronisations	patronizations
patronise	patronize
patronised	patronized
patroniser	patronizer
patronisers	patronizers
patronises	patronizes
patronising	patronizing
patronisingly	patronizingly
pattae	patte
pauperisation	pauperization
pauperisations	pauperizations
pauperise	pauperize
pauperised	pauperized
pauperises	pauperizes
pauperising	pauperizing
paviour	pavior
paviours	paviors
pearlise	pearlize
pearlised	pearlized
pectisation	pectization
pectise	pectize
pectised	pectized
pectises	pectizes
pectising	pectizing
